# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753259139.278863 11.313274 0.124623 -0.024090 0.500000 -0.000419 1.323597 0.100000
1753259139.379060 11.363254 0.123417 -0.024074 0.500000 -0.000419 1.372458 0.100000
1753259139.479036 11.413236 0.122216 -0.023989 0.500000 0.000000 1.442930 0.100000
1753259139.579268 11.463218 0.121016 -0.024059 0.500000 0.000000 1.511921 0.100000
1753259139.679463 11.513202 0.119808 -0.024236 0.500000 -0.012216 1.577017 0.100000
1753259139.778575 11.563184 0.118572 -0.025297 0.500000 -0.012216 1.649334 0.100000
1753259139.878739 11.613164 0.117281 -0.026366 0.500000 -0.021620 1.719443 0.100000
1753259139.978867 11.663140 0.115918 -0.028301 0.500000 -0.021620 1.784457 0.100000
1753259140.079080 11.713117 0.114447 -0.030589 0.500000 -0.011343 1.846795 0.100000
1753259140.179394 11.763090 0.112879 -0.032006 0.500000 -0.011343 1.914416 0.100000
1753259140.278649 11.813061 0.111251 -0.033074 0.500000 -0.022587 1.983563 0.100000
1753259140.380484 11.863027 0.109552 -0.035030 0.500000 -0.022587 2.051998 0.100000
1753259140.479631 11.912990 0.107747 -0.037258 0.500000 -0.010925 2.117353 0.100000
1753259140.579663 11.962952 0.105846 -0.038678 0.500000 -0.010925 2.178017 0.100000
1753259140.679910 12.012912 0.103882 -0.039872 0.500000 -0.023417 2.247525 0.100000
1753259140.780116 12.062867 0.101838 -0.041979 0.500000 -0.023417 2.313758 0.100000
1753259140.879391 12.112815 0.099686 -0.044153 0.500000 -0.031494 2.348951 0.100000
1753259140.979473 12.162761 0.097404 -0.047274 0.500000 -0.031494 2.352776 0.100000
1753259141.079614 12.212699 0.094957 -0.050616 0.500000 -0.022734 2.355003 0.100000
1753259141.179895 12.262630 0.092365 -0.053027 0.500000 -0.022734 2.356150 0.100000
1753259141.280110 12.312554 0.089661 -0.055146 0.500000 -0.032526 2.360556 0.100000
1753259141.380275 12.362467 0.086834 -0.058146 0.500000 -0.032526 2.364685 0.100000
1753259141.479420 12.412376 0.083846 -0.061501 0.500000 -0.042702 2.368521 0.100000
1753259141.579661 12.462273 0.080665 -0.065867 0.500000 -0.042702 2.372997 0.100000
1753259141.679763 12.512155 0.077267 -0.070112 0.500000 -0.033233 2.376982 0.100000
1753259141.779879 12.562023 0.073681 -0.073391 0.500000 -0.033233 2.380653 0.100000
1753259141.880085 12.611878 0.069935 -0.076629 0.500000 -0.043058 2.385364 0.100000
1753259141.980143 12.661721 0.066003 -0.080962 0.500000 -0.043058 2.389345 0.100000
1753259142.080307 12.711547 0.061847 -0.085417 0.477775 -0.034553 2.396256 0.100000
1753259142.179472 12.760166 0.057596 -0.088902 0.477775 -0.034553 2.400079 0.100000
1753259142.280536 12.807744 0.053277 -0.092187 0.475313 -0.022476 2.405589 0.100000
1753259142.379625 12.855092 0.048841 -0.094555 0.475313 -0.022476 2.410498 0.100000
1753259142.479819 12.902405 0.044297 -0.096955 0.475032 -0.012842 2.415112 0.100000
1753259142.580076 12.949682 0.039661 -0.098435 0.475032 -0.012842 2.419887 0.100000
1753259142.680218 12.996949 0.034964 -0.099620 0.425004 -0.023393 2.421827 0.100000
1753259142.780320 13.042869 0.030328 -0.101727 0.425004 -0.023393 2.418423 0.100000
1753259142.880447 13.085919 0.025884 -0.104079 0.415734 -0.012161 2.413116 0.100000
1753259142.980790 13.127493 0.021507 -0.105592 0.415734 -0.012161 2.408252 0.100000
1753259143.079814 13.168831 0.017098 -0.106895 0.373663 -0.024199 2.401646 0.100000
1753259143.179890 13.208932 0.012753 -0.109106 0.373663 -0.024199 2.397442 0.100000
1753259143.280016 13.246438 0.008601 -0.111428 0.361830 -0.012677 2.393828 0.100000
1753259143.380206 13.282685 0.004519 -0.112768 0.361830 -0.012677 2.389605 0.100000
1753259143.480310 13.318633 0.000425 -0.114068 0.312120 -0.023249 2.384847 0.100000
1753259143.580480 13.353348 -0.003590 -0.116333 0.312120 -0.023249 2.380178 0.100000
1753259143.680807 13.385184 -0.007348 -0.118732 0.297345 -0.013583 2.375422 0.100000
